flokkur (class),ætt (family),Flokkun,B8A,B8B*1/8,B0A*1/8,B0A,A7B*1/8,A7B,C4C*1/8,C4C,E4A*1/8,E4A,B5C*1/8,B5C,U1C*1/4,U1C*1/8,U1C,U2C*1/8,U2C,U2B*1/8,U2B,U1A*1/8,U1A,E4C*1/8,E4C,B8C*1/8,B8C,B0C*1/8,B0C,E3B*1/2,C4B*1/8,C4B,E3B,B5B*1/8,B5B,E4B*1/8,E4B,U2A,U2A*1/8,E3D,E3A,E3A*1/8,U1B*1/8,U1B,B8A,B8A*1/4,B0B,B0B*1/8,A7A,A7A*1/8,C4A,C4A*1/8,B5A,B5A*1/4,B5A*1/8,A7C *1/8,A7C*1/2
Clitellata,,Oligochaeta sp.,,,,,,,,,5,1,,,2,,,22,6,7,2,,,1,,,,,9,19,2,,3,,,7,2,18,13,,5,,,,,,,,,,2,,,,,,
Ophiurodiea,,Ophiuroidea sp,,,,,,,,,,,,,,,2,,,,,,21,,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,
Polychaeta,Dorvilleidae,Ophryotrocha cf Cosmetandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Polychaeta,Orbiniidae,Orbiniidae sp,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracoda,,Ostracoda sp,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,122,120,,18,5,,213,238,,,,228,,43,1,,23,55,174
Polychaeta,Pectinariidae,Pectinaria granulata,,,,,,,,,,,,,,,4,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracoda,Philomedidae,Philomedes globosus,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,Pholoe sp,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Phyllodocidae,Phyllodoce maculata,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Polychaeta,Phyllodocidae,Phyllodocidae sp,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Terebellidae,Polycirrinae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Polychaeta,Polynoidae,Polynoida ungv.,,,,,,,,,,,,,,,,,,,,,32,,1,,,,5,,,,,,,,,5,,,8,,37,,,,,,,,,,,,,,
Polyplacophora,,Polyplacophora sp,,,,,,,,,,,,,,,5,,,,,,13,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,Porifera sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Praxillella praetermissa,,,,,,,,,,,,,,,,,7,1,8,,5,,,,,,,,,,,,,,,12,2,,6,,,,,,,,,,,,,,,,
Malacostraca,Ischyroceridae,Protomedeia fasciata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Pycnogonida,,Pycnogonida sp,,,,,,,,,,,,,,1,5,,,,,,3,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,
Polychaeta,Maldanidae,Rhodine gracilior,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,,Sabellida sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Polychaeta,Orbiniidae,Scoloplos armiger,,,,,,,,2,,,,,,,,,5,3,17,,4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1,,,,,,
Polychaeta,Syllidae,Sphaerosyllis erinaceus,,,,,,,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,Sphaerosyllis ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,
Polychaeta,Spionidae,Spionidae sp.,,,,,,,6,45,,,,,6,2,26,1,14,4,18,,21,,,,,,2,7,3,42,16,,,,1,18,2,,55,2,33,,,,3,1,,,92,1,3,,,,
Polychaeta,Sternaspidae,Sternapsis scutata,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,Syllidae sp,,,,,,,,,,,,,3,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,Syllis cornuta,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Polychaeta,Terebellidae,Terebellidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Clitellata,Tubificidae,Tubicoides benedi,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clitellata,Tubificidae,Tubicoides kozloffi,,,,,,,1,1,,,1,,2,1,3,5,2,9,9,,,,,,,1,7,,,,,,,,,22,9,,16,,2,,,,2,,,,,,1,,,,
Polychaeta,Syllidae,Typosyllis armillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
