"species","ecological_group","reassign"
"Amblyosyllis sp.",2,0
"Amblyosyllis spectabilis",2,0
"Ameghinomya antiqua",1,0
"Americamysis almyra",2,0
"Americamysis bahia",2,0
"Americamysis bigelowi",2,0
"Americamysis sp.",2,0
"Americhelidium americanum",2,0
"Americhelidium gurjanovae",1,0
"Americhelidium rectipalmum",2,0
"Americhelidium shoemakeri",2,0
"Americhelidium sp.",2,1
"Americoliva sayana",1,0
"Americonuphis magna",0,0
"Americorophium brevis",2,0
"Americorophium salmonis",1,0
"Americorophium sp.",3,1
"Americorophium spinicorne",3,0
"Americorophium stimpsoni",1,0
"Americorophium triaeonyx",3,0
"Ameritella agilis",2,0
"Ameritella cadieni",2,0
"Ameritella carpenteri",2,0
"Ameritella mitchelli",3,0
"Ameritella modesta",2,0
"Ameritella tenella",1,0
"Ameritella texana",1,0
"Ameroculodes edwardsi",1,0
"Ameroculodes sp.",1,0
"Ammodytes personatus",0,0
"Ammodytes tobianus",0,0
"Ammonia beccarii",0,0
"Ammonicera rota",2,0
"Ammothea hilgendorfi",2,0
"Ammothella longipes",1,0
"Ammotrypane aulogaster",3,0
"Ammotrypane cylindricaudatus",1,0
"Ammotrypane gymnopyge",1,0
"Ammotrypane lanceolata",1,0
"Ampelisca abdita",3,0
"Ampelisca aequicornis",1,0
"Ampelisca agassizi",1,0
"Ampelisca amblyops",1,0
"Ampelisca anomala",1,0
"Ampelisca anversensis",1,0
"Ampelisca araucana",2,0
"Ampelisca armoricana",1,0
"Ampelisca bocki",1,0
"Ampelisca brachycladus",2,0
"Ampelisca brevicornis",1,0
"Ampelisca brevisimulata",2,0
"Ampelisca careyi",2,0
"Ampelisca cavicoxa",1,0
"Ampelisca cristata",2,0
"Ampelisca cyclops",1,0
"Ampelisca cyclops iyoensis",1,0
"Ampelisca dalmatina",1,0
"Ampelisca declivitatis",1,0
"Ampelisca diadema",2,0
"Ampelisca eoa",1,0
"Ampelisca eschrichtii",1,0
"Ampelisca gibba",1,0
"Ampelisca hancocki",1,0
"Ampelisca heterodactyla",1,0
"Ampelisca holmesi",1,0
"Ampelisca iyoensis",1,0
"Ampelisca jaffaensis",1,0
"Ampelisca ledoyeri",1,0
"Ampelisca lobata",2,0
"Ampelisca longisetosa",1,0
"Ampelisca lusitanica",1,0
"Ampelisca macrocephala",1,0
"Ampelisca miharaensis",1,0
"Ampelisca milleri",2,0
"Ampelisca misakiensis",1,0
"Ampelisca multispinosa",1,0
"Ampelisca naikaiensis",1,0
"Ampelisca odontoplax",1,0
"Ampelisca parapanamensis",1,0
"Ampelisca pectenata",1,0
"Ampelisca planierensis",1,0
"Ampelisca provincialis",1,0
"Ampelisca pseudosarsi",1,0
"Ampelisca pseudospinimana",1,0
"Ampelisca pugetica",2,0
"Ampelisca pusilla",1,0
"Ampelisca richardsoni",1,0
"Ampelisca romigi",2,0
"Ampelisca rubella",1,0
"Ampelisca ruffoi",1,0
"Ampelisca sarsi",1,0
"Ampelisca scabripes",1,0
"Ampelisca sp.",1,1
"Ampelisca spinifer",1,0
"Ampelisca spinimana",1,0
"Ampelisca spinipes",1,0
"Ampelisca spooneri",1,0
"Ampelisca tenuicornis",1,0
"Ampelisca toulemonti",1,0
"Ampelisca truncata",1,0
"Ampelisca typica",1,0
"Ampelisca uncinata",1,0
"Ampelisca unsocalae",2,0
"Ampelisca vadorum",1,0
"Ampelisca verrilli",1,0
"Ampeliscidae",1,0
"Ampharete acutifrons",2,0
"Ampharete anobothrusiformis",2,0
"Ampharete arctica",1,0
"Ampharete baltica",2,0
"Ampharete borealis",2,0
"Ampharete capensis",2,0
"Ampharete crassiseta",3,0
"Ampharete elongata",2,0
"Ampharete falcata",2,0
"Ampharete finmarchica",1,0
"Ampharete goesi",1,0
"Ampharete grubei",2,0
"Ampharete kerguelensis",3,0
"Ampharete labrops",2,0
"Ampharete lindstroemi",1,0
"Ampharete lineata",2,0
"Ampharete manriquei",1,0
"Ampharete octocirrata",2,0
"Ampharete oculata",2,0
"Ampharete reducta",3,0
"Ampharete sibirica",1,0
"Ampharete sp.",1,1
"Ampharetides sp.",1,1
"Amphibalanus amphitrite",2,0
"Amphiblestrum auritum",1,0
"Amphibola crenata",3,0
"Amphichaeta leydigi",5,0
"Amphichaeta sannio",5,0
"Amphicorina armandi",2,0
"Amphicorina sp.",2,0
"Amphicteis antarctica",3,0
"Amphicteis chilensis",3,0
"Amphicteis floridus",3,0
"Amphicteis gunneri",3,0
"Amphicteis gunneri antarctica",3,0
"Amphicteis midas",3,0
"Amphicteis scaphobranchiata",1,0
"Amphicteis vestis",1,0
"Amphictene auricoma",1,0
"Amphictene capensis",1,0
"Amphictene japonica",1,0
"Amphictene sp.",1,0
"Amphidesma lucinale",1,0
"Amphideutopus oculatus",3,0
"Amphiduros fuscescens",1,0
"Amphiduros sp.",1,0
"Amphiglena mediterranea",1,0
"Amphilepis norvegica",1,0
"Amphilochoides boecki",2,0
"Amphilochoides gracilis",2,0
"Amphilochoides odontonyx",2,0
"Amphilochoides serratipes",2,0
"Amphilochoides sp.",2,0
"Amphilochus manudens",2,0
"Amphilochus neapolitanus",2,0
"Amphilochus sp.",2,0
"Amphilochus spencebatei",2,0
"Amphilochus tenuimanus",2,0
"Amphinome jukesi",1,0
"Amphinome rostrata",1,0
"Amphinome sp.",1,0
"Amphiodia atra",2,0
"Amphiodia craterodmeta",1,0
"Amphiodia fissa",1,0
"Amphiodia obtecta",3,0
"Amphiodia periercta",2,0
"Amphiodia sp.",1,1
"Amphiodia trychna",2,0
"Amphiodia urtica",1,0
"Amphionereis articulata",2,0
"Amphioplus ancistrotus",2,0
"Amphioplus depressus",2,0
"Amphioplus japonicus",2,0
"Amphioplus laevis",2,0
"Amphioplus lucidus",2,0
"Amphioplus macraspis",1,0
"Amphioplus magellanicus",3,0
"Amphioplus praestans",2,0
"Amphioplus sinicus",2,0
"Amphioplus sp.",1,1
"Amphioplus strongyloplax",1,0
"Amphioplus tricoides",2,0
"Amphipholis fissa",1,0
"Amphipholis gracillima",1,0
"Amphipholis januarii",1,0
"Amphipholis kochii",1,0
"Amphipholis macraspis",1,0
"Amphipholis misera",1,0
"Amphipholis sobrina",1,0
"Amphipholis sp.",1,0
"Amphipholis squamata",1,0
"Amphiporeia virginiana",1,0
"Amphiporus allucens",3,0
"Amphiporus bimaculatus",2,0
"Amphiporus bioculatus",3,0
"Amphiporus californicus",2,0
"Amphiporus cruentatus",2,0
"Amphiporus imparispinosus",2,0
"Amphiporus lactifloreus",3,0
"Amphiporus rubellus",2,0
"Amphisamytha japonica",3,0
"Amphissa undata",2,0
"Amphitrite auricoma",1,0
"Amphitrite cirrata",1,0
"Amphitrite gracilis",2,0
"Amphitrite johnstoni",1,0
"Amphitrite robusta",2,0
"Amphitrite rubra",1,0
"Amphitritides gracilis",2,0
"Amphiura acrystata",1,0
"Amphiura aestuarii",2,0
"Amphiura arcystata",1,0
"Amphiura brachiata",1,0
"Amphiura cherbonnieri",2,0
"Amphiura chiajei",2,0
"Amphiura complanata",2,0
"Amphiura filiformis",2,0
"Amphiura griegi",2,0
"Amphiura koreae",2,0
"Amphiura palmeri",2,0
"Amphiura praestans",2,0
"Amphiura securigera",2,0
"Amphiura sinicola",2,0
"Amphiura sp.",2,1
"Amphiura sundevalli",2,0
"Amphiura vadicola",2,0
"Amphiuridae",2,1
"Ampithoe gammaroides",2,0
"Ampithoe helleri",3,0
"Ampithoe lacertosa",2,0
"Ampithoe longimana",2,0
"Ampithoe plumulosa",2,0
"Ampithoe ramondi",3,0
"Ampithoe rubricata",1,0
"Ampithoe sp.",1,1
"Ampithoe valida",2,0
"Ampullina sp.",2,0
"Amygdalum papyrium",2,0
"Amygdalum soyoae",3,0
"Amygdalum sp.",3,0
"Amygdalum watsoni",3,0
"Amythasides macroglossus",1,0
"Anachis avara",1,0
"Anachis catenata",1,0
"Anachis floridana",1,0
"Anachis lafresnayi",1,0
"Anachis lyrata",1,0
"Anachis miser",1,0
"Anachis obesa",1,0
"Anachis pulchella",1,0
"Anachis sp.",1,0
"Anachis sparsa",1,0
"Anadar nodifera",4,0
"Anadara brasiliana",0,0
"Anadara broughtonii",4,0
"Anadara demiri",4,0
"Anadara diluvii",1,0
"Anadara floridana",0,0
"Anadara gibbosa",1,0
"Anadara granosa",1,0
"Anadara inaequivalvis",4,0
"Anadara kagoshimensis",4,0
"Anadara multicostata",2,0
"Anadara polii",1,0
"Anadara secticostata",0,0
"Anadara transversa",4,0
"Anaitides groenlandica",4,0
"Anaitides koreana",2,0
"Anaitides lamelligera",2,0
"Anaitides lineata",2,0
"Anaitides longipes",2,0
"Anaitides maculata",2,0
"Anaitides madeirensis",2,0
"Anaitides mucosa",3,0
"Anaitides papillosa",2,0
"Anaitides rosea",2,0
"Anaitides sp.",2,1
"Anaitides subulifera",2,0
"Anamaera hixoni",0,0
"Anamobaea orstedii",0,0
"Anapagurus bicorniger",1,0
"Anapagurus breviaculeatus",1,0
"Anapagurus chiroacanthus",1,0
"Anapagurus hyndmanni",1,0
"Anapagurus laevis",3,0
"Anapagurus longispina",1,0
"Anapagurus petiti",1,0
"Anapagurus serripes",1,0
"Anapagurus smythi",1,0
"Anapagurus sp.",1,1
"Anapta gracilis",2,0
"Anasca sp.",1,0
"Anchialina agilis",2,0
"Anchicolurus occidentalis",1,0
"Anchistylis watlingi",3,0
"Ancinus gaucho",1,0
"Ancinus granulatus",1,0
"Ancinus panamensis",1,0
"Ancinus sp.",1,0
"Ancistrosyllis carolinensis",3,0
"Ancistrosyllis commensalis",3,0
"Ancistrosyllis constricta",3,0
"Ancistrosyllis groenlandica",3,0
"Ancistrosyllis hanaokai",2,0
"Ancistrosyllis hartmanae",3,0
"Ancistrosyllis jonesi",3,0
"Ancistrosyllis papillosa",3,0
"Ancistrosyllis parva",3,0
"Ancistrosyllis pilargiformis",3,0
"Ancistrosyllis quellina",1,0
"Ancistrosyllis sp.",3,1
"Ancula sp.",1,0
"Anelassorhynchus sabinus",1,0
"Anemonactis mazelii",2,0
"Anemonactis sp.",2,0
"Angeliera sp.",2,0
